Nummer;Name;Tierart;Alter;Charimas;Freundlichkeit;Fitness;Zauberkraft;Schelmischkeit;Kriminalitätslevel;Intelligenz;Charakter
1;Wimpy;Bushbaby;1;8;9;3;0;4;1;8;Er ist der Detektiv. Die Hauptfigur des Spiels.
2;Chat;Katze;4;10;4;10;0;9;9;10;Die Chat/Katze ist sehr klug und elegant. Außerdem hat sie Freude an Pranks und kennt keine Gesetze. Im Herzen ist sie aber gutmütig. 
3;Fan;Kiwi;3;5;10;2;1;2;0;3;Er ist großer Fan von allen Neuseeländischen Mannschaften. Er beobachtet gerne Matches.
4;Mikkeli;Husky;2;8;8;10;0;3;4;6;Der Husky ist ein Personaltrainer. Er ist sehr lieb aber kann auch sehr meinungsstark sein.
5;Jumpy;Koboldmaki;6;10;9;8;1;10;8;8;Der Jumpy ist ein sehr charismatischer Maki mit einem sehr langen Schwanz, die er auch gern als seine Nase ausgibt.
6;;;;;;;;;;;
7;;;;;;;;;;;
8;;;;;;;;;;;
9;;;;;;;;;;;
10;;;;;;;;;;;
11;;;;;;;;;;;
12;;;;;;;;;;;
